"Dividend.rate...","Dividend.per.share","Dividend.type","BSE.Closing.price","Announcement_year","Record_year","BSE.Ex_year","Announcement_month","Record_month","BSE.Ex_month","Announcement_dec_date","Record_dec_date","BSE_Ex_dec_date"
19,0.78,"Final",127.55,2017,2017,2017,5,8,8,2017.40547945205,2017.64931506849,2017.64109589041
12,0.4,"Final",146.4,2016,2016,2016,5,9,9,2016.40163934426,2016.70765027322,2016.70218579235
17,0.62,"Final",213,2015,2015,2015,5,9,9,2015.39726027397,2015.70684931507,2015.70136986301
26,1.52,"Final",223.9,2014,2014,2014,5,9,9,2014.40547945205,2014.6904109589,2014.68493150685
9,3.29,"Final",141.55,2013,2013,2013,5,9,9,2013.38904109589,2013.69315068493,2013.67945205479
11,3.68,"Final",201.35,2012,2012,2012,5,9,9,2012.39071038251,2012.6912568306,2012.68032786885
10,17.9,"Final",NA,2011,2011,2011,5,8,8,2011.38904109589,2011.61095890411,2011.60547945205
4,12.3,"Final",NA,2010,2010,2010,5,9,9,2010.39726027397,2010.67123287671,2010.66575342466
27,8,"Final",NA,2009,2009,2009,5,9,9,2009.4,2009.67123287671,2009.66575342466
24,6.25,"Final",NA,2008,2008,2008,5,9,9,2008.39890710383,2008.67213114754,2008.66666666667
23,6,"Final",NA,2007,2007,2007,5,9,8,2007.39452054795,2007.67123287671,2007.6602739726
12,2,"Final",NA,2006,2006,2006,5,9,9,2006.41095890411,2006.67671232877,2006.66575342466
22,4.5,"Final",NA,2005,2005,2005,5,9,9,2005.41095890411,2005.68767123288,2005.67945205479
15,3,"Final",574.4,2004,2004,2004,7,9,9,2004.56010928962,2004.68579234973,2004.68032786885
20,4,"Final",350,2003,2003,2003,8,9,9,2003.64657534247,2003.6904109589,2003.68493150685
20,4,"Final",175.4,2002,2002,2002,8,9,9,2002.62191780822,2002.6904109589,2002.67671232877
15,3,"Final",145.9,2001,2001,2001,8,9,8,2001.61643835616,2001.6904109589,2001.65205479452
15,3,"Final",101.05,2000,2000,2000,4,5,5,2000.25409836066,2000.37978142077,2000.33333333333
13,2.5,"Final",282,1999,1999,1999,8,9,8,1999.63287671233,1999.6904109589,1999.64109589041
13,2.5,"Final",226.3,1998,1998,1998,8,9,8,1998.58082191781,1998.74520547945,1998.64383561644
12,2,"Final",462.5,1997,1997,1997,3,9,8,1997.16164383562,1997.74246575342,1997.60821917808
12,2,"Final",172,1996,1996,1996,8,9,8,1996.60655737705,1996.6912568306,1996.61202185792
8,1.5,"Final",NA,1995,NA,NA,3,NA,NA,1995.24383561644,NA,NA
12,2,"Final",182.5,1994,NA,1994,10,NA,10,1994.78904109589,NA,1994.78904109589
8,1.5,"Final",85,1993,NA,1993,9,NA,9,1993.73698630137,NA,1993.73698630137
8,1.5,"Final",147.5,1992,NA,1992,10,NA,10,1992.80054644809,NA,1992.80054644809
1,100,"Final",NA,1991,NA,NA,3,NA,NA,1991.24383561644,NA,NA
1,100,"Final",NA,1990,NA,NA,3,NA,NA,1990.24383561644,NA,NA
1,100,"Final",NA,1989,NA,NA,3,NA,NA,1989.24383561644,NA,NA
21,0.8,"Interim",156.9,2017,2017,2017,2,2,2,2017.10136986301,2017.12328767123,2017.12054794521
14,0.54,"Interim",259.25,2015,2015,2015,2,2,2,2015.11506849315,2015.13150684931,2015.12602739726
25,1.31,"Interim",155.55,2014,2014,2014,2,2,2,2014.09589041096,2014.1095890411,2014.10136986301
2,2.12,"Interim",212.2,2013,2013,2013,2,2,2,2013.08493150685,2013.09863013699,2013.09589041096
7,2.72,"Interim",276,2012,2012,2012,3,3,3,2012.16666666667,2012.18032786885,2012.17759562842
6,13.25,"Interim",NA,2011,2011,2011,3,3,3,2011.2,2011.21643835616,2011.20821917808
3,11,"Interim",NA,2010,2010,2010,1,2,2,2010.05479452055,2010.1095890411,2010.10684931507
29,9,"Interim",NA,2009,2009,2009,1,2,2,2009.07671232877,2009.13150684931,2009.12876712329
29,9,"Interim",NA,2008,2008,2008,1,2,2,2008.06557377049,2008.12021857923,2008.1174863388
5,12.5,"Interim",NA,2007,2007,2007,1,2,2,2007.06575342466,2007.12054794521,2007.11780821918
28,8.5,"Special",NA,2006,2006,2006,3,3,3,2006.17808219178,2006.22191780822,2006.21917808219
21,4,"Interim",NA,2005,2005,2005,12,12,12,2005.93150684932,2005.97534246575,2005.97260273973
18,3.5,"Interim",725.6,2004,2004,2004,12,12,12,2004.93989071038,2004.98633879781,2004.9781420765
16,3,"Interim",573.35,2004,2004,2004,3,3,3,2004.16393442623,2004.20765027322,2004.20491803279
